Date,Ranking,NationalTeam
Feb-00,62,Japan
Feb-00,63,Costa Rica
Feb-00,68,Ecuador
Feb-00,71,Algeria
Feb-00,74,Honduras
Feb-00,81,Bosnia-Herzegovina
Feb-00,91,Australia
Mar-00,1,Brazil
Mar-00,3,France
Mar-00,4,Spain
Mar-00,5,Germany
Mar-00,7,Argentina
Mar-00,9,Croatia
Mar-00,10,Mexico
Mar-00,11,England
Mar-00,14,Italy
Mar-00,15,Portugal
Mar-00,17,Colombia
Mar-00,19,Netherlands
Mar-00,20,United States
Mar-00,21,Russia
Mar-00,24,Chile
Mar-00,33,Belgium
Mar-00,35,Cameroon
Mar-00,37,Greece
Mar-00,44,Uruguay
Mar-00,45,South Korea
Mar-00,47,Ivory Coast
Mar-00,49,Japan
Mar-00,51,Nigeria
Mar-00,52,Switzerland
Mar-00,53,Iran
Mar-00,57,Ghana
Mar-00,60,Honduras
Mar-00,68,Costa Rica
Mar-00,72,Ecuador
Mar-00,75,Algeria
Mar-00,83,Bosnia-Herzegovina
Mar-00,84,Australia
Apr-00,1,Brazil
Apr-00,3,France
Apr-00,4,Spain
Apr-00,5,Germany
Apr-00,6,Argentina
Apr-00,8,Mexico
Apr-00,10,Croatia
Apr-00,13,England
Apr-00,14,Italy
Apr-00,15,Portugal
Apr-00,17,Colombia
Apr-00,18,United States
Apr-00,20,Netherlands
Apr-00,22,Russia
Apr-00,23,Chile
Apr-00,32,Greece
Apr-00,33,Belgium
Apr-00,35,Cameroon
Apr-00,42,Uruguay
Apr-00,43,South Korea
Apr-00,46,Iran
Apr-00,47,Ivory Coast
Apr-00,50,Japan
Apr-00,52,Nigeria
Apr-00,55,Switzerland
Apr-00,57,Ghana
Apr-00,66,Honduras
Apr-00,68,Costa Rica
Apr-00,71,Ecuador
Apr-00,76,Bosnia-Herzegovina
Apr-00,83,Australia
Apr-00,85,Algeria
May-00,1,Brazil
May-00,3,France
May-00,4,Spain
May-00,5,Argentina
May-00,6,Germany
May-00,7,Croatia
May-00,8,Mexico
May-00,12,England
May-00,14,Italy
May-00,15,Portugal
May-00,18,Colombia
May-00,19,United States
May-00,21,Netherlands
May-00,22,Chile
May-00,23,Russia
May-00,30,Belgium
May-00,31,Greece
May-00,38,Cameroon
May-00,40,South Korea
May-00,42,Iran
May-00,44,Uruguay
May-00,47,Ivory Coast
May-00,48,Ghana
May-00,52,Nigeria
May-00,56,Japan
May-00,57,Switzerland
May-00,65,Honduras
May-00,69,Costa Rica
May-00,71,Ecuador
May-00,76,Bosnia-Herzegovina
May-00,78,Algeria
May-00,89,Australia
Jun-00,1,Brazil
Jun-00,2,France
Jun-00,4,Spain
Jun-00,5,Argentina
Jun-00,6,Germany
Jun-00,8,Mexico
Jun-00,9,Croatia
Jun-00,12,England
Jun-00,14,Italy
Jun-00,15,Portugal
Jun-00,18,Colombia
Jun-00,19,United States
Jun-00,21,Netherlands
Jun-00,23,Chile
Jun-00,24,Russia
Jun-00,30,Belgium
Jun-00,32,Greece
Jun-00,38,Cameroon
Jun-00,41,Iran
Jun-00,42,South Korea
Jun-00,43,Uruguay
Jun-00,49,Ghana
Jun-00,51,Ivory Coast
Jun-00,52,Nigeria
Jun-00,57,Japan
Jun-00,58,Switzerland
Jun-00,62,Honduras
Jun-00,66,Costa Rica
Jun-00,71,Ecuador
Jun-00,75,Algeria
Jun-00,77,Bosnia-Herzegovina
Jun-00,92,Australia
Jul-00,1,Brazil
Jul-00,2,France
Jul-00,4,Spain
Jul-00,5,Argentina
Jul-00,6,Italy
Jul-00,7,Portugal
Jul-00,8,Netherlands
Jul-00,9,Germany
Jul-00,13,Mexico
Jul-00,14,Croatia
Jul-00,15,England
Jul-00,17,Colombia
Jul-00,20,United States
Jul-00,22,Chile
Jul-00,24,Russia
Jul-00,28,Belgium
Jul-00,31,Greece
Jul-00,34,Cameroon
Jul-00,35,Uruguay
Jul-00,38,South Korea
Jul-00,40,Iran
Jul-00,46,Japan
Jul-00,49,Ivory Coast
Jul-00,51,Honduras
Jul-00,53,Nigeria
Jul-00,54,Ghana
Jul-00,58,Switzerland
Jul-00,63,Australia
Jul-00,66,Ecuador
Jul-00,69,Costa Rica
Jul-00,76,Algeria
Jul-00,80,Bosnia-Herzegovina
Aug-00,1,Brazil
Aug-00,2,France
Aug-00,3,Argentina
Aug-00,5,Spain
Aug-00,6,Italy
Aug-00,7,Portugal
Aug-00,8,Netherlands
Aug-00,11,Germany
Aug-00,13,England
Aug-00,14,Mexico
Aug-00,15,Croatia
Aug-00,17,Colombia
Aug-00,21,United States
Aug-00,22,Chile
Aug-00,25,Russia
Aug-00,28,Belgium
Aug-00,32,Greece
Aug-00,33,Cameroon
Aug-00,36,Uruguay
Aug-00,37,South Korea
Aug-00,38,Iran
Aug-00,45,Ivory Coast
Aug-00,48,Japan
Aug-00,49,Honduras
Aug-00,50,Ghana
Aug-00,55,Nigeria
Aug-00,61,Costa Rica
Aug-00,62,Switzerland
Aug-00,65,Ecuador
Aug-00,66,Australia
Aug-00,77,Algeria
Aug-00,82,Bosnia-Herzegovina
Sep-00,1,Brazil
Sep-00,2,France
Sep-00,3,Argentina
Sep-00,5,Spain
Sep-00,6,Italy
Sep-00,7,Portugal
Sep-00,9,Germany
Sep-00,10,Netherlands
Sep-00,13,Mexico
Sep-00,14,England
Sep-00,15,Croatia
Sep-00,17,Colombia
Sep-00,19,United States
Sep-00,20,Chile
Sep-00,24,Russia
Sep-00,25,Belgium
Sep-00,32,Uruguay
Sep-00,33,Greece
Sep-00,34,Cameroon
Sep-00,43,South Korea
Sep-00,44,Iran
Sep-00,46,Honduras
Sep-00,48,Ivory Coast
Sep-00,50,Japan
Sep-00,53,Ghana
Sep-00,54,Nigeria
Sep-00,55,Costa Rica
Sep-00,60,Ecuador
Sep-00,61,Switzerland
Sep-00,67,Australia
Sep-00,74,Bosnia-Herzegovina
Sep-00,80,Algeria
Oct-00,1,Brazil
Oct-00,2,France
Oct-00,3,Argentina
Oct-00,5,Spain
Oct-00,6,Italy
Oct-00,7,Portugal
Oct-00,8,Germany
Oct-00,9,Netherlands
Oct-00,11,Mexico
Oct-00,15,England
Oct-00,16,Colombia
Oct-00,17,Croatia
Oct-00,18,United States
Oct-00,19,Chile
Oct-00,23,Belgium
Oct-00,24,Russia
Oct-00,32,Greece
Oct-00,34,Uruguay
Oct-00,35,Cameroon
Oct-00,43,Iran
Oct-00,44,South Korea
Oct-00,46,Honduras
Oct-00,48,Ghana
Oct-00,49,Japan
Oct-00,50,Ivory Coast
Oct-00,54,Costa Rica
Oct-00,57,Nigeria
Oct-00,58,Ecuador
Oct-00,61,Switzerland
Oct-00,70,Australia
Oct-00,78,Bosnia-Herzegovina
Oct-00,80,Algeria
Nov-00,1,Brazil
Nov-00,2,France
Nov-00,3,Argentina
Nov-00,5,Italy
Nov-00,6,Spain
Nov-00,7,Portugal
Nov-00,8,Germany
Nov-00,10,Netherlands
Nov-00,11,Mexico
Nov-00,15,Colombia
Nov-00,16,England
Nov-00,17,Croatia
Nov-00,18,United States
Nov-00,19,Chile
Nov-00,21,Russia
Nov-00,26,Belgium
Nov-00,34,Japan
Nov-00,36,Uruguay
Nov-00,39,South Korea
Nov-00,40,Iran
Nov-00,41,Cameroon
Nov-00,42,Greece
Nov-00,50,Honduras
Nov-00,51,Nigeria
Nov-00,52,Ivory Coast
Nov-00,56,Costa Rica
Nov-00,57,Ghana
Nov-00,58,Ecuador
Nov-00,59,Switzerland
Nov-00,74,Australia
Nov-00,77,Bosnia-Herzegovina
Nov-00,82,Algeria
Dec-00,1,Brazil
Dec-00,2,France
Dec-00,3,Argentina
Dec-00,4,Italy
Dec-00,6,Portugal
Dec-00,7,Spain
Dec-00,8,Netherlands
Dec-00,11,Germany
Dec-00,12,Mexico
Dec-00,15,Colombia
Dec-00,16,United States
Dec-00,17,England
Dec-00,18,Croatia
Dec-00,19,Chile
Dec-00,21,Russia
Dec-00,27,Belgium
Dec-00,32,Uruguay
Dec-00,37,Iran
Dec-00,38,Japan
Dec-00,39,Cameroon
Dec-00,40,South Korea
Dec-00,42,Greece
Dec-00,46,Honduras
Dec-00,51,Ivory Coast
Dec-00,52,Nigeria
Dec-00,54,Ecuador
Dec-00,57,Ghana
Dec-00,58,Switzerland
Dec-00,60,Costa Rica
Dec-00,73,Australia
Dec-00,78,Bosnia-Herzegovina
Dec-00,82,Algeria
Jan-01,1,Brazil
Jan-01,2,France
Jan-01,3,Argentina
Jan-01,5,Italy
Jan-01,6,Portugal
Jan-01,7,Spain
Jan-01,8,Netherlands
Jan-01,11,Germany
Jan-01,12,Mexico
Jan-01,15,Colombia
Jan-01,16,United States
Jan-01,17,England
Jan-01,18,Croatia
Jan-01,20,Russia
Jan-01,21,Chile
Jan-01,27,Belgium
Jan-01,33,Uruguay
Jan-01,36,Cameroon
Jan-01,37,Iran
Jan-01,40,Japan
Jan-01,42,South Korea
Jan-01,43,Greece
Jan-01,46,Honduras
Jan-01,50,Nigeria
Jan-01,51,Ivory Coast
Jan-01,53,Ecuador
Jan-01,56,Costa Rica
Jan-01,58,Ghana
Jan-01,59,Switzerland
Jan-01,75,Australia
Jan-01,79,Bosnia-Herzegovina
Jan-01,80,Algeria
Feb-01,1,Brazil
Feb-01,2,France
Feb-01,3,Argentina
Feb-01,4,Italy
Feb-01,6,Portugal
Feb-01,7,Spain
Feb-01,8,Netherlands
Feb-01,11,Germany
Feb-01,12,Mexico
Feb-01,15,Colombia
Feb-01,16,United States
Feb-01,17,England
Feb-01,18,Croatia
Feb-01,20,Russia
Feb-01,22,Chile
Feb-01,27,Belgium
Feb-01,33,Uruguay
Feb-01,35,Iran
Feb-01,40,Japan
Feb-01,41,Cameroon
Feb-01,42,South Korea
Feb-01,43,Greece
Feb-01,47,Honduras
Feb-01,48,Ivory Coast
Feb-01,51,Nigeria
Feb-01,54,Ecuador
Feb-01,56,Costa Rica
Feb-01,58,Ghana
Feb-01,59,Switzerland
Feb-01,73,Bosnia-Herzegovina
Feb-01,75,Australia
Feb-01,80,Algeria
Mar-01,1,Brazil
Mar-01,2,France
Mar-01,3,Argentina
Mar-01,4,Portugal
Mar-01,5,Italy
Mar-01,7,Spain
Mar-01,9,Netherlands
Mar-01,11,Germany
Mar-01,12,Mexico
Mar-01,15,Colombia
Mar-01,16,England
Mar-01,17,Croatia
Mar-01,18,United States
Mar-01,19,Russia
Mar-01,22,Chile
Mar-01,26,Belgium
Mar-01,34,Uruguay
Mar-01,36,Cameroon
Mar-01,37,Iran
Mar-01,39,South Korea
Mar-01,42,Japan
Mar-01,44,Greece
Mar-01,46,Ivory Coast
Mar-01,50,Honduras
Mar-01,52,Nigeria
Mar-01,53,Ecuador
Mar-01,56,Costa Rica
Mar-01,59,Ghana
Mar-01,60,Switzerland
Mar-01,74,Bosnia-Herzegovina
Mar-01,76,Australia
Mar-01,81,Algeria
Apr-01,1,Brazil
Apr-01,2,France
Apr-01,3,Argentina
Apr-01,4,Italy
Apr-01,5,Portugal
Apr-01,7,Spain
Apr-01,8,Germany
Apr-01,10,Netherlands
Apr-01,13,Mexico
Apr-01,14,England
Apr-01,15,Colombia
Apr-01,17,Croatia
Apr-01,18,United States
Apr-01,20,Russia
Apr-01,27,Belgium
Apr-01,28,Chile
Apr-01,38,Cameroon
Apr-01,39,Uruguay
Apr-01,40,Iran
Apr-01,41,South Korea
Apr-01,42,Japan
Apr-01,46,Greece
Apr-01,47,Ivory Coast
Apr-01,49,Honduras
Apr-01,51,Ecuador
Apr-01,52,Costa Rica
Apr-01,55,Nigeria
Apr-01,56,Switzerland
Apr-01,60,Ghana
Apr-01,69,Bosnia-Herzegovina
Apr-01,76,Algeria
Apr-01,77,Australia
May-01,1,France
May-01,2,Brazil
May-01,3,Argentina
May-01,4,Italy
May-01,5,Portugal
May-01,6,Spain
May-01,8,Netherlands
May-01,9,Germany
May-01,13,Mexico
May-01,14,England
May-01,15,United States
May-01,16,Colombia
May-01,18,Russia
May-01,19,Croatia
May-01,30,Belgium
May-01,32,Chile
May-01,33,Uruguay
May-01,37,Cameroon
May-01,39,South Korea
May-01,41,Ivory Coast
May-01,42,Iran
May-01,44,Japan
May-01,45,Ecuador
May-01,48,Greece
May-01,49,Honduras
May-01,50,Nigeria
May-01,54,Costa Rica
May-01,58,Switzerland
May-01,61,Ghana
May-01,68,Australia
May-01,72,Bosnia-Herzegovina
May-01,83,Algeria
Jun-01,1,France
Jun-01,2,Brazil
Jun-01,3,Argentina
Jun-01,4,Italy
Jun-01,5,Portugal
Jun-01,6,Spain
Jun-01,8,Germany
Jun-01,9,Netherlands
Jun-01,13,England
Jun-01,14,Croatia
Jun-01,15,Mexico
Jun-01,17,United States
Jun-01,18,Colombia
Jun-01,20,Russia
Jun-01,26,Belgium
Jun-01,33,Japan
Jun-01,35,Chile
Jun-01,37,South Korea
Jun-01,38,Cameroon
Jun-01,40,Uruguay
Jun-01,42,Ivory Coast
Jun-01,44,Ecuador
Jun-01,45,Nigeria
Jun-01,47,Costa Rica
Jun-01,49,Iran
Jun-01,50,Australia
Jun-01,51,Honduras
Jun-01,55,Greece
Jun-01,61,Switzerland
Jun-01,62,Ghana
Jun-01,78,Bosnia-Herzegovina
Jun-01,83,Algeria
Jul-01,1,France
Jul-01,2,Brazil
Jul-01,3,Argentina
Jul-01,4,Italy
Jul-01,5,Germany
Jul-01,6,Spain
Jul-01,7,Portugal
Jul-01,10,Netherlands
Jul-01,13,Mexico
Jul-01,14,Colombia
Jul-01,15,England
Jul-01,16,United States
Jul-01,18,Croatia
Jul-01,20,Russia
Jul-01,26,Belgium
Jul-01,30,Uruguay
Jul-01,31,Chile
Jul-01,32,Japan
Jul-01,33,Costa Rica
Jul-01,34,Cameroon
Jul-01,39,South Korea
Jul-01,40,Nigeria
Jul-01,42,Ivory Coast
Jul-01,46,Australia
Jul-01,48,Honduras
Jul-01,50,Ecuador
Jul-01,51,Iran
Jul-01,55,Ghana
Jul-01,57,Greece
Jul-01,62,Switzerland
Jul-01,72,Algeria
Jul-01,75,Bosnia-Herzegovina
Aug-01,1,France
Aug-01,2,Brazil
Aug-01,3,Argentina
Aug-01,4,Italy
Aug-01,5,Germany
Aug-01,6,Colombia
Aug-01,8,Spain
Aug-01,9,Portugal
Aug-01,10,Netherlands
Aug-01,12,Mexico
Aug-01,15,England
Aug-01,16,United States
Aug-01,17,Croatia
Aug-01,20,Russia
Aug-01,23,Honduras
Aug-01,24,Uruguay
Aug-01,27,Japan
Aug-01,30,Belgium
Aug-01,31,Costa Rica
Aug-01,34,Nigeria
Aug-01,35,Chile
Aug-01,37,Cameroon
Aug-01,42,South Korea
Aug-01,45,Ivory Coast
Aug-01,46,Iran
Aug-01,47,Ecuador
Aug-01,51,Australia
Aug-01,56,Greece
Aug-01,59,Ghana
Aug-01,60,Switzerland
Aug-01,73,Algeria
Aug-01,78,Bosnia-Herzegovina
Sep-01,1,France
Sep-01,2,Brazil
Sep-01,3,Argentina
Sep-01,4,Italy
Sep-01,5,Portugal
Sep-01,6,Spain
Sep-01,7,Colombia
Sep-01,8,Netherlands
Sep-01,9,England
Sep-01,10,Mexico
Sep-01,12,Germany
Sep-01,16,Croatia
Sep-01,19,United States
Sep-01,20,Honduras
Sep-01,21,Uruguay
Sep-01,24,Russia
Sep-01,26,Belgium
Sep-01,28,Japan
Sep-01,29,Costa Rica
Sep-01,37,Chile
Sep-01,38,Iran
Sep-01,39,Cameroon
Sep-01,40,Nigeria
Sep-01,43,South Korea
Sep-01,45,Ivory Coast
Sep-01,46,Ecuador
Sep-01,51,Australia
Sep-01,56,Switzerland
Sep-01,57,Ghana
Sep-01,61,Greece
Sep-01,73,Algeria
Sep-01,76,Bosnia-Herzegovina
Oct-01,1,France
Oct-01,2,Brazil
Oct-01,3,Argentina
Oct-01,4,Italy
Oct-01,5,Portugal
Oct-01,6,Spain
Oct-01,7,Netherlands
Oct-01,8,Colombia
Oct-01,9,England
Oct-01,11,Mexico
Oct-01,14,Germany
Oct-01,16,Croatia
Oct-01,19,United States
Oct-01,21,Russia
Oct-01,23,Uruguay
Oct-01,24,Honduras
Oct-01,26,Japan
Oct-01,29,Costa Rica
Oct-01,33,Belgium
Oct-01,35,Iran
Oct-01,37,Chile
Oct-01,38,Cameroon
Oct-01,39,Ecuador
Oct-01,42,Nigeria
Oct-01,43,South Korea
Oct-01,46,Ivory Coast
Oct-01,48,Australia
Oct-01,57,Greece
Oct-01,60,Ghana
Oct-01,63,Switzerland
Oct-01,70,Bosnia-Herzegovina
Oct-01,75,Algeria
Nov-01,1,France
Nov-01,2,Argentina
Nov-01,3,Brazil
Nov-01,4,Portugal
Nov-01,5,Colombia
Nov-01,6,Italy
Nov-01,7,Spain
Nov-01,8,Netherlands
Nov-01,9,Mexico
Nov-01,10,England
Nov-01,11,Germany
Nov-01,19,Croatia
Nov-01,20,Belgium
Nov-01,21,United States
Nov-01,22,Russia
Nov-01,24,Uruguay
Nov-01,26,Honduras
Nov-01,29,Iran
Nov-01,31,Costa Rica
Nov-01,35,Japan
Nov-01,37,Ecuador
Nov-01,38,Cameroon
Nov-01,39,Chile
Nov-01,40,Nigeria
Nov-01,43,South Korea
Nov-01,46,Ivory Coast
Nov-01,50,Australia
Nov-01,57,Greece
Nov-01,58,Ghana
Nov-01,65,Switzerland
Nov-01,71,Bosnia-Herzegovina
Nov-01,75,Algeria
Dec-01,1,France
Dec-01,2,Argentina
Dec-01,3,Brazil
Dec-01,4,Portugal
Dec-01,5,Colombia
Dec-01,6,Italy
Dec-01,7,Spain
Dec-01,8,Netherlands
Dec-01,9,Mexico
Dec-01,10,England
Dec-01,12,Germany
Dec-01,19,Croatia
Dec-01,20,Belgium
Dec-01,21,Russia
Dec-01,22,Uruguay
Dec-01,24,United States
Dec-01,27,Honduras
Dec-01,29,Iran
Dec-01,30,Costa Rica
Dec-01,34,Japan
Dec-01,37,Ecuador
Dec-01,38,Cameroon
Dec-01,39,Chile
Dec-01,40,Nigeria
Dec-01,42,South Korea
Dec-01,44,Ivory Coast
Dec-01,48,Australia
Dec-01,57,Greece
Dec-01,59,Ghana
Dec-01,63,Switzerland
Dec-01,69,Bosnia-Herzegovina
Dec-01,75,Algeria
Jan-02,1,France
Jan-02,2,Argentina
Jan-02,3,Brazil
Jan-02,4,Portugal
Jan-02,5,Colombia
Jan-02,6,Italy
Jan-02,7,Spain
Jan-02,8,Netherlands
Jan-02,9,Mexico
Jan-02,10,England
Jan-02,12,Germany
Jan-02,19,Croatia
Jan-02,20,Belgium
Jan-02,21,Russia
Jan-02,22,Uruguay
Jan-02,24,United States
Jan-02,25,Honduras
Jan-02,29,Iran
Jan-02,30,Costa Rica
Jan-02,35,Japan
Jan-02,37,Cameroon
Jan-02,38,Ecuador
Jan-02,39,Chile
Jan-02,40,Nigeria
Jan-02,42,South Korea
Jan-02,44,Ivory Coast
Jan-02,48,Australia
Jan-02,57,Greece
Jan-02,61,Ghana
Jan-02,65,Switzerland
Jan-02,71,Bosnia-Herzegovina
Jan-02,74,Algeria
Feb-02,1,France
Feb-02,2,Argentina
Feb-02,3,Brazil
Feb-02,4,Portugal
Feb-02,5,Colombia
Feb-02,6,Italy
Feb-02,7,Spain
Feb-02,8,Netherlands
Feb-02,9,Mexico
Feb-02,10,England
Feb-02,12,Germany
Feb-02,13,United States
Feb-02,18,Cameroon
Feb-02,21,Croatia
Feb-02,22,Belgium
Feb-02,23,Russia
Feb-02,24,Uruguay
Feb-02,26,Costa Rica
Feb-02,27,Honduras
Feb-02,31,Nigeria
Feb-02,32,Iran
Feb-02,37,Ecuador
Feb-02,38,Japan
Feb-02,41,South Korea
Feb-02,42,Chile
Feb-02,46,Ivory Coast
Feb-02,49,Australia
Feb-02,56,Ghana
Feb-02,59,Greece
Feb-02,67,Switzerland
Feb-02,72,Bosnia-Herzegovina
Feb-02,76,Algeria
Mar-02,1,France
Mar-02,2,Argentina
Mar-02,3,Brazil
Mar-02,4,Italy
Mar-02,5,Colombia
Mar-02,6,Portugal
Mar-02,7,Spain
Mar-02,8,Mexico
Mar-02,9,Netherlands
Mar-02,10,Germany
Mar-02,12,England
Mar-02,13,United States
Mar-02,19,Cameroon
Mar-02,21,Belgium
Mar-02,22,Uruguay
Mar-02,23,Croatia
Mar-02,24,Russia
Mar-02,26,Honduras
Mar-02,27,Costa Rica
Mar-02,31,Iran
Mar-02,32,Nigeria
Mar-02,37,Ecuador
Mar-02,38,Japan
Mar-02,41,South Korea
Mar-02,43,Chile
Mar-02,48,Ivory Coast
Mar-02,49,Australia
Mar-02,54,Ghana
Mar-02,59,Greece
Mar-02,62,Switzerland
Mar-02,73,Bosnia-Herzegovina
Mar-02,77,Algeria
Apr-02,1,France
Apr-02,2,Brazil
Apr-02,3,Argentina
Apr-02,4,Colombia
Apr-02,5,Portugal
Apr-02,6,Italy
Apr-02,7,Mexico
Apr-02,8,Spain
Apr-02,9,Netherlands
Apr-02,11,England
Apr-02,12,Germany
Apr-02,13,United States
Apr-02,18,Cameroon
Apr-02,21,Uruguay
Apr-02,22,Belgium
Apr-02,23,Croatia
Apr-02,24,Russia
Apr-02,26,Honduras
Apr-02,27,Costa Rica
Apr-02,29,Nigeria
Apr-02,32,Iran
Apr-02,33,Japan
Apr-02,36,Ecuador
Apr-02,41,South Korea
Apr-02,44,Chile
Apr-02,46,Ivory Coast
Apr-02,48,Australia
Apr-02,54,Greece
Apr-02,57,Ghana
Apr-02,65,Switzerland
Apr-02,73,Bosnia-Herzegovina
Apr-02,78,Algeria
May-02,1,France
May-02,2,Brazil
May-02,3,Argentina
May-02,4,Colombia
May-02,5,Portugal
May-02,6,Italy
May-02,7,Mexico
May-02,8,Spain
May-02,9,Netherlands
May-02,11,Germany
May-02,12,England
May-02,13,United States
May-02,17,Cameroon
May-02,21,Croatia
May-02,23,Belgium
May-02,24,Uruguay
May-02,26,Honduras
May-02,27,Nigeria
May-02,28,Russia
May-02,29,Costa Rica
May-02,30,Iran
May-02,32,Japan
May-02,36,Ecuador
May-02,40,South Korea
May-02,45,Chile
May-02,46,Ivory Coast
May-02,48,Australia
May-02,52,Ghana
May-02,53,Greece
May-02,64,Switzerland
May-02,72,Bosnia-Herzegovina
May-02,79,Algeria
Jul-02,1,Brazil
Jul-02,2,Argentina
Jul-02,3,France
Jul-02,4,Spain
Jul-02,5,Germany
Jul-02,6,Mexico
Jul-02,7,Portugal
Jul-02,8,England
Jul-02,9,Colombia
Jul-02,10,Italy
Jul-02,11,United States
Jul-02,15,Netherlands
Jul-02,17,Cameroon
Jul-02,19,Belgium
Jul-02,22,South Korea
Jul-02,23,Uruguay
Jul-02,24,Japan
Jul-02,26,Costa Rica
Jul-02,27,Croatia
Jul-02,28,Russia
Jul-02,29,Nigeria
Jul-02,30,Honduras
Jul-02,31,Ecuador
Jul-02,33,Iran
Jul-02,45,Chile
Jul-02,47,Ivory Coast
Jul-02,49,Greece
Jul-02,50,Australia
Jul-02,57,Ghana
Jul-02,64,Switzerland
Jul-02,73,Bosnia-Herzegovina
Jul-02,79,Algeria
Aug-02,1,Brazil
Aug-02,2,Argentina
Aug-02,3,Spain
Aug-02,4,France
Aug-02,5,Germany
Aug-02,6,Mexico
Aug-02,7,England
Aug-02,8,Portugal
Aug-02,9,Italy
Aug-02,10,United States
Aug-02,14,Netherlands
Aug-02,15,Colombia
Aug-02,17,Cameroon
Aug-02,18,Belgium
Aug-02,22,South Korea
Aug-02,23,Japan
Aug-02,24,Uruguay
Aug-02,25,Costa Rica
Aug-02,26,Croatia
Aug-02,28,Nigeria
Aug-02,30,Russia
Aug-02,31,Ecuador
Aug-02,33,Iran
Aug-02,38,Honduras
Aug-02,46,Australia
Aug-02,48,Ivory Coast
Aug-02,49,Greece
Aug-02,50,Chile
Aug-02,56,Ghana
Aug-02,65,Switzerland
Aug-02,77,Bosnia-Herzegovina
Aug-02,82,Algeria
Sep-02,1,Brazil
Sep-02,2,France
Sep-02,3,Spain
Sep-02,4,Germany
Sep-02,5,Argentina
Sep-02,6,Mexico
Sep-02,8,United States
Sep-02,9,England
Sep-02,10,Italy
Sep-02,11,Portugal
Sep-02,12,Netherlands
Sep-02,15,Cameroon
Sep-02,18,Colombia
Sep-02,19,Belgium
Sep-02,21,South Korea
Sep-02,23,Uruguay
Sep-02,24,Russia
Sep-02,25,Costa Rica
Sep-02,27,Japan
Sep-02,29,Croatia
Sep-02,30,Nigeria
Sep-02,31,Ecuador
Sep-02,34,Iran
Sep-02,40,Honduras
Sep-02,43,Australia
Sep-02,46,Greece
Sep-02,49,Ivory Coast
Sep-02,55,Switzerland
Sep-02,57,Chile
Sep-02,61,Ghana
Sep-02,74,Algeria
Sep-02,83,Bosnia-Herzegovina
Oct-02,1,Brazil
Oct-02,2,France
Oct-02,3,Spain
Oct-02,4,Germany
Oct-02,5,Argentina
Oct-02,6,England
Oct-02,7,Mexico
Oct-02,9,Netherlands
Oct-02,10,United States
Oct-02,11,Italy
Oct-02,12,Portugal
Oct-02,17,Belgium
Oct-02,19,Cameroon
Oct-02,20,South Korea
Oct-02,22,Colombia
Oct-02,23,Russia
Oct-02,25,Uruguay
Oct-02,26,Costa Rica
Oct-02,27,Japan
Oct-02,28,Nigeria
Oct-02,32,Ecuador
Oct-02,33,Iran
Oct-02,35,Croatia
Oct-02,41,Honduras
Oct-02,44,Australia
Oct-02,45,Switzerland
Oct-02,48,Greece
Oct-02,58,Ivory Coast
Oct-02,59,Ghana
Oct-02,67,Chile
Oct-02,69,Algeria
Oct-02,80,Bosnia-Herzegovina
Nov-02,1,Brazil
Nov-02,2,France
Nov-02,3,Spain
Nov-02,4,Germany
Nov-02,5,Argentina
Nov-02,6,England
Nov-02,7,Mexico
Nov-02,9,United States
Nov-02,10,Netherlands
Nov-02,11,Italy
Nov-02,12,Portugal
Nov-02,17,Cameroon
Nov-02,18,Belgium
Nov-02,20,South Korea
Nov-02,22,Japan
Nov-02,23,Uruguay
Nov-02,24,Russia
Nov-02,26,Costa Rica
Nov-02,27,Nigeria
Nov-02,30,Colombia
Nov-02,32,Ecuador
Nov-02,34,Iran
Nov-02,36,Croatia
Nov-02,43,Honduras
Nov-02,45,Switzerland
Nov-02,47,Australia
Nov-02,48,Greece
Nov-02,59,Ghana
Nov-02,60,Ivory Coast
Nov-02,65,Algeria
Nov-02,72,Chile
Nov-02,82,Bosnia-Herzegovina
Dec-02,1,Brazil
Dec-02,2,France
Dec-02,3,Spain
Dec-02,4,Germany
Dec-02,5,Argentina
Dec-02,6,Netherlands
Dec-02,7,England
Dec-02,8,Mexico
Dec-02,10,United States
Dec-02,11,Portugal
Dec-02,13,Italy
Dec-02,16,Cameroon
Dec-02,17,Belgium
Dec-02,20,South Korea
Dec-02,21,Costa Rica
Dec-02,22,Japan
Dec-02,23,Russia
Dec-02,28,Uruguay
Dec-02,29,Nigeria
Dec-02,31,Ecuador
Dec-02,32,Croatia
Dec-02,33,Iran
Dec-02,37,Colombia
Dec-02,40,Honduras
Dec-02,44,Switzerland
Dec-02,48,Greece
Dec-02,50,Australia
Dec-02,61,Ghana
Dec-02,64,Ivory Coast
Dec-02,68,Algeria
Dec-02,84,Chile
Dec-02,87,Bosnia-Herzegovina
Feb-03,1,Brazil
Feb-03,2,France
Feb-03,3,Spain
Feb-03,4,Argentina
Feb-03,5,Germany
Feb-03,6,Netherlands
Feb-03,8,England
Feb-03,9,Mexico
Feb-03,10,United States
Feb-03,12,Portugal
Feb-03,13,Italy
Feb-03,16,Belgium
Feb-03,17,Cameroon
Feb-03,20,South Korea
Feb-03,21,Russia
Feb-03,22,Costa Rica
Feb-03,24,Japan
Feb-03,28,Uruguay
Feb-03,29,Nigeria
Feb-03,31,Ecuador
Feb-03,32,Iran
Feb-03,33,Croatia
